"Time(CDT)","Access point","SSID","Client","Category","Event type","Details"
"Jul 12 12:21:05","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA authentication",""""""
"Jul 12 12:21:05","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 association","""channel: 1, rssi: 48, band: 2"""
"Jul 12 12:21:04","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:21:04","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA deauthentication","""radio: 0, vap: 4, client_mac: B2:F8:7E:8B:BB:C4, aid: 494395720"""
"Jul 12 12:20:51","opdc-ap-2a14","Tyler-Guest","aa:e0:f0:dd:28:67","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:20:49","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""previous authentication expired"""
"Jul 12 12:20:47","opdc-ap-2a14","Tyler-Guest","aa:e0:f0:dd:28:67","802.11","802.11 association","""channel: 112, rssi: 40, band: 5"""
"Jul 12 12:20:36","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:20:33","opdc-ap-2a12","Tyler-Guest","Android","802.11","802.11 disassociation","""client not responding"""
"Jul 12 12:20:33","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 42, band: 5"""
"Jul 12 12:20:31","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:20:28","opdc-ap-2a3","Tyler-Guest","b6:7f:43:71:d0:96","802.11","802.11 association","""channel: 40, rssi: 42, band: 5"""
"Jul 12 12:20:23","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client association expired"""
"Jul 12 12:20:19","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 57, band: 5"""
"Jul 12 12:20:19","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 165, rssi: 37, band: 5"""
"Jul 12 12:20:19","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 1, vap: 1, group: """
"Jul 12 12:20:16","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","WPA","WPA authentication",""""""
"Jul 12 12:20:16","opdc-ap-2a5","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 association","""channel: 100, rssi: 40, band: 5"""
"Jul 12 12:20:16","opdc-ap-2a2","Tyler-Corp2","4557a695-221a-45bc-9475-1023cb7ea59b","802.11","802.11 disassociation","""previous authentication expired"""
"Jul 12 12:20:16","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:20:15","opdc-ap-2a3","Tyler-Guest","42:bb:fb:e6:d5:b0","802.11","802.11 association","""channel: 40, rssi: 58, band: 5"""
"Jul 12 12:20:14","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 1, rssi: 55, band: 2"""
"Jul 12 12:20:14","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.1X","RADIUS response","""radio: 0, vap: 1, group: """
"Jul 12 12:20:13","opdc-ap-1a12","","","Air Marshal","Device Containment","""type: containing_device, ssid: DIRECT-Tyler-Corp2, bssid: B2:52:16:5F:2B:BE"""
"Jul 12 12:20:11","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 disassociation","""client has left AP"""
"Jul 12 12:20:11","opdc-ap-1a12","Tyler-Corp","jeffs-iPhone","802.11","802.11 association","""channel: 165, rssi: 43, band: 5"""
